                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1372,                0.66275,                 1.2645,                0.73809,                0.75606,                0.81287,                0.31863,                  1.582,                0.67229,                 1.4828,                0.00026,                0.00026,                0.00026
                      1,                 1.0186,                0.59378,                 1.1723,                0.75964,                0.70732,                0.72145,                0.30916,                 1.5919,                  0.684,                 1.5355,             0.00052218,             0.00052218,             0.00052218
                      2,                0.99285,                0.56533,                 1.1335,                0.81762,                0.70732,                0.76872,                0.27408,                 1.7212,                0.70401,                 1.6478,             0.00076588,             0.00076588,             0.00076588
                      3,                 1.0886,                0.61552,                 1.1893,                0.86352,                0.77178,                  0.791,                0.26832,                 1.6172,                0.69464,                 1.7269,              0.0009911,              0.0009911,              0.0009911
                      4,                 1.1327,                0.61289,                 1.2523,                0.65912,                0.75461,                0.73846,                0.24863,                 1.6975,                0.96554,                 1.6825,              0.0011978,              0.0011978,              0.0011978
                      5,                 1.1226,                0.66294,                 1.1685,                0.84885,                0.70732,                0.80842,                 0.2954,                 1.5598,                0.72636,                 1.4753,              0.0013861,              0.0013861,              0.0013861
                      6,                 1.2095,                0.67016,                 1.2571,                0.75483,                0.70732,                 0.7947,                0.31099,                 1.5631,                0.73267,                  1.524,              0.0015559,              0.0015559,              0.0015559
                      7,                 1.2161,                0.70994,                 1.2626,                0.74548,                0.73171,                 0.7318,                0.28526,                  1.596,                0.80002,                 1.5316,               0.001538,               0.001538,               0.001538
                      8,                  1.255,                0.69564,                 1.3103,                0.72249,                0.70732,                0.73887,                0.29033,                 1.5607,                0.74622,                 1.5516,               0.001538,               0.001538,               0.001538
                      9,                 1.2912,                0.71843,                 1.3284,                0.76161,                0.70732,                0.70557,                0.28975,                 1.5348,                0.74358,                 1.5497,               0.001472,               0.001472,               0.001472
                     10,                 1.3104,                0.69133,                 1.3678,                0.80573,                0.73171,                0.77817,                0.29418,                  1.545,                0.90555,                 1.5721,               0.001406,               0.001406,               0.001406
                     11,                 1.4322,                0.75647,                 1.3752,                0.71155,                0.78218,                0.74276,                0.27362,                 1.6196,                 1.2654,                 1.5918,                0.00134,                0.00134,                0.00134
                     12,                 1.3217,                0.71631,                 1.3452,                0.71833,                0.78049,                0.75378,                0.29265,                 1.5965,                0.89261,                 1.5303,               0.001274,               0.001274,               0.001274
                     13,                 1.3348,                0.70926,                 1.3343,                0.82426,                 0.7561,                0.81324,                0.27823,                 1.6336,                0.85757,                  1.533,               0.001208,               0.001208,               0.001208
                     14,                 1.4122,                0.71796,                 1.4131,                0.80699,                0.73171,                0.80035,                0.28397,                 1.6185,                 0.7285,                 1.5527,               0.001142,               0.001142,               0.001142
                     15,                 1.3723,                0.74725,                 1.3275,                0.71526,                0.82927,                0.79194,                0.27843,                 1.6038,                0.70657,                 1.5733,               0.001076,               0.001076,               0.001076
                     16,                  1.307,                0.70733,                 1.3088,                0.76621,                0.87805,                0.84252,                0.28782,                 1.6078,                 1.0076,                 1.5863,                0.00101,                0.00101,                0.00101
                     17,                 1.3673,                0.70566,                  1.364,                0.81765,                0.58537,                0.72163,                0.25936,                 1.5705,                 7.0296,                  1.535,               0.000944,               0.000944,               0.000944
                     18,                 1.3244,                0.70869,                 1.3595,                0.79821,                0.67549,                0.78063,                0.30292,                 1.5561,                 1.2675,                 1.4679,               0.000878,               0.000878,               0.000878
                     19,                 1.2205,                0.65371,                 1.2837,                0.76733,                0.72407,                0.77798,                0.31678,                  1.491,                0.80853,                 1.4176,               0.000812,               0.000812,               0.000812
                     20,                 1.3374,                0.72807,                 1.3386,                0.80844,                0.82357,                0.82364,                 0.3183,                 1.5165,                0.90162,                 1.4475,               0.000746,               0.000746,               0.000746
                     21,                 1.1869,                0.64358,                 1.3185,                0.84465,                 0.7958,                0.83355,                0.32212,                 1.5762,                0.74414,                  1.471,                0.00068,                0.00068,                0.00068
                     22,                 1.2843,                0.67113,                 1.2954,                0.81573,                0.80488,                0.82901,                0.30681,                 1.6164,                 0.6593,                 1.5051,               0.000614,               0.000614,               0.000614
                     23,                 1.3144,                0.68837,                 1.3037,                0.84014,                0.80488,                0.85775,                0.34872,                 1.5091,                0.64472,                 1.4104,               0.000548,               0.000548,               0.000548
                     24,                 1.2923,                 0.6888,                 1.3304,                  0.884,                0.78049,                 0.8625,                0.35773,                 1.5181,                0.63077,                 1.4326,               0.000482,               0.000482,               0.000482
                     25,                 1.3042,                0.66512,                 1.3111,                 0.8915,                0.80169,                 0.8631,                 0.3312,                 1.6015,                0.66102,                 1.4777,               0.000416,               0.000416,               0.000416
                     26,                 1.3099,                0.70556,                 1.3087,                0.88678,                0.80488,                0.83464,                0.31964,                  1.605,                0.66087,                 1.4965,                0.00035,                0.00035,                0.00035
                     27,                  1.271,                0.66645,                 1.2509,                 0.8698,                0.81484,                0.83123,                0.33306,                 1.5607,                0.61225,                 1.4786,               0.000284,               0.000284,               0.000284
                     28,                 1.2608,                0.64247,                 1.2981,                0.94556,                 0.8474,                 0.8828,                0.34785,                 1.5604,                0.59294,                 1.4881,               0.000218,               0.000218,               0.000218
                     29,                 1.2285,                0.64168,                  1.244,                0.91838,                0.82344,                0.88289,                0.36067,                 1.5781,                 0.6188,                 1.5056,               0.000152,               0.000152,               0.000152
